ISO,Country / Region,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
ERI,Eritrea,,10.0,54.0,28.0,25.0,12.0,6.0,70.0,1199.0,142.0,198.0,127.0,45.0,194.0,48.0,51.0,82.0,0.0,55.0,128.0,19.0,24.0,376.0,460.0,204.0,789.0,320.0,316.0,777.0,1783.0,185.0,541.0,267.0,,,
EST,Estonia,,4.0,4.0,0.0,0.0,0.0,27.0,10.0,1.0,2.0,4.0,0.0,2.0,4.0,7.0,0.0,0.0,0.0,1.0,27.0,2.0,0.0,0.0,0.0,0.0,9.0,12.0,17.0,18.0,19.0,17.0,230.0,312.0,71.0,129.0,33.0
SWZ,Eswatini,,0.0,3.0,64.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,313.0,26.0,1.0,0.0,0.0,0.0,0.0,350.0,37.0,49.0,10.0,0.0,180.0,609.0,2201.0,171.0,610.0,7148.0,2042.0,1467.0,1465.0
ETH,Ethiopia,,31044.0,24038.0,9292.0,1953.0,1952.0,3998.0,1752.0,1921.0,4579.0,17745.0,12739.0,5253.0,4347.0,3255.0,4235.0,1176.0,3511.0,1446.0,1451.0,357.0,73.0,228.0,3332.0,2366.0,1660.0,5329.0,1603.0,1113.0,1586.0,562.0,1133.0,1152.0,4815.0,497.0,1836.0
FJI,Fiji,,,,,,,28.0,0.0,,5.0,,,,0.0,,0.0,1.0,0.0,0.0,136.0,,37.0,305.0,304.0,17.0,,,,828.0,39.0,414.0,39.0,425.0,969.0,,32.0
FIN,Finland,,2.0,1.0,0.0,3.0,4.0,12.0,15.0,11.0,4.0,2.0,,2.0,,27.0,5.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,1.0,0.0,0.0,6.0,1.0,0.0,5.0,8.0,3.0
FRA,France,,483.0,117.0,15.0,16.0,240.0,2637.0,2921.0,519.0,79.0,157.0,267.0,272.0,,14949.0,5048.0,1541.0,604.0,39.0,40.0,36.0,4448.0,,5185.0,,10000.0,,,80000.0,66000.0,54239.0,44005.0,77232.0,109548.0,156849.0,
PYF,French Polynesia,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,3.0,,13.0,0.0,518.0,387.0,7.0,95.0,21.0,22.0,31.0,30.0
GAB,Gabon,,32.0,1167.0,1293.0,134.0,9.0,2.0,1.0,1075.0,1509.0,27.0,33.0,122.0,2.0,2.0,1.0,0.0,3.0,0.0,90.0,0.0,63.0,,110.0,5129.0,15.0,,,,70.0,,,958.0,1245.0,,738.0
GMB,Gambia,,8.0,38.0,58.0,0.0,,1.0,4.0,1.0,45.0,71.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,32.0,99.0,336.0,856.0,,1500.0,15.0,130.0,280.0,912.0,364.0,164.0,
GEO,Georgia,,350.0,39.0,12.0,5.0,20.0,3918.0,2199.0,94.0,14.0,431.0,3188.0,7872.0,31.0,64.0,22.0,23.0,56.0,44.0,334.0,1356.0,6847.0,216.0,199.0,35.0,50.0,144.0,218.0,342.0,304.0,181.0,723.0,409.0,115.0,352.0,
DEU,Germany,,645.0,79.0,15.0,10.0,76.0,514.0,543.0,929.0,326.0,2464.0,443.0,1771.0,166.0,1607.0,780.0,574.0,917.0,567.0,2307.0,778.0,121.0,779.0,4657.0,6024.0,,,,,,,,,,,
GHA,Ghana,,1944.0,2282.0,395.0,52.0,88.0,1274.0,34.0,19.0,32.0,23.0,124.0,319.0,1613.0,120.0,641.0,101.0,82.0,6.0,420.0,435.0,60.0,1939.0,12289.0,13476.0,23068.0,15987.0,23335.0,37261.0,34273.0,40276.0,34821.0,34641.0,39933.0,17135.0,32246.0
GRC,Greece,,38.0,0.0,0.0,0.0,3.0,45.0,2291.0,968.0,0.0,1.0,1.0,3.0,3.0,40.0,149.0,2.0,1.0,2.0,,122.0,1.0,,5.0,12.0,56.0,69.0,66.0,136.0,6082.0,112.0,163.0,503.0,3448.0,1371.0,245.0
GRD,Grenada,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,6.0
GUM,Guam,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,2.0,7.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,228.0,25.0,4.0,62.0,1.0
GTM,Guatemala,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,23.0,204.0,17.0,97.0,209.0,8802.0
GIN,Guinea,,577.0,94.0,417.0,505.0,506.0,4555.0,482.0,2036.0,316.0,243.0,175.0,53.0,6.0,11.0,45.0,264.0,89.0,3.0,4.0,99.0,10.0,2497.0,2151.0,7408.0,11294.0,18004.0,9170.0,10170.0,10292.0,1085.0,2372.0,5228.0,1617.0,6708.0,12756.0
