CODE,NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
HND,Honduras,90.0,86.0,89.0,94.0,93.0,89.0,91.0,89.0,98.0,98.0,98.0,99.0,97.0,95.0,92.0,96.0,95.0,94.0,93.0,98.0,98.0,97.0,97.0,97.0,97.0,98.0,98.0,98.0,91.0,89.0,82.0,81.0,77.0,77.0,79.0
HRV,Croatia,,,90.0,90.0,90.0,92.0,92.0,91.0,91.0,92.0,93.0,94.0,95.0,94.0,96.0,96.0,95.0,96.0,96.0,95.0,96.0,96.0,95.0,94.0,94.0,93.0,90.0,89.0,93.0,93.0,91.0,89.0,90.0,90.0,90.0
HTI,Haiti,31.0,35.0,39.0,44.0,48.0,49.0,50.0,52.0,53.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,55.0,57.0,59.0,62.0,63.0,65.0,66.0,68.0,69.0,69.0,67.0,65.0,70.0,74.0,74.0,63.0,66.0,72.0,77.0
HUN,Hungary,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
IDN,Indonesia,58.0,61.0,65.0,68.0,66.0,63.0,79.0,77.0,77.0,77.0,76.0,76.0,72.0,74.0,76.0,77.0,79.0,76.0,76.0,74.0,78.0,80.0,82.0,87.0,86.0,87.0,88.0,90.0,89.0,88.0,76.0,72.0,92.0,82.0,85.0
IND,India,56.0,43.0,51.0,59.0,67.0,72.0,66.0,55.0,53.0,56.0,56.0,57.0,56.0,60.0,64.0,68.0,69.0,70.0,72.0,78.0,82.0,84.0,83.0,83.0,85.0,87.0,88.0,90.0,93.0,95.0,89.0,89.0,95.0,93.0,97.0
IRL,Ireland,78.0,78.0,78.0,78.0,78.0,77.0,77.0,77.0,77.0,77.0,79.0,73.0,73.0,78.0,81.0,84.0,86.0,87.0,89.0,90.0,90.0,92.0,92.0,93.0,93.0,93.0,92.0,92.0,92.0,91.0,92.0,90.0,90.0,89.0,90.0
IRN,Iran (Islamic Republic of),85.0,84.0,96.0,96.0,97.0,95.0,99.0,95.0,99.0,99.0,99.0,96.0,99.0,99.0,96.0,94.0,99.0,97.0,98.0,99.0,99.0,99.0,98.0,98.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
IRQ,Iraq,75.0,71.0,67.0,63.0,72.0,80.0,82.0,85.0,88.0,90.0,86.0,82.0,77.0,73.0,69.0,69.0,62.0,64.0,75.0,81.0,75.0,80.0,74.0,73.0,70.0,71.0,79.0,81.0,85.0,86.0,93.0,84.0,97.0,97.0,91.0
ISL,Iceland,99.0,99.0,99.0,99.0,98.0,99.0,99.0,99.0,96.0,94.0,91.0,88.0,91.0,93.0,93.0,90.0,95.0,95.0,96.0,92.0,93.0,94.0,90.0,91.0,90.0,93.0,91.0,92.0,93.0,93.0,93.0,92.0,91.0,91.0,97.0
ISR,Israel,91.0,94.0,94.0,92.0,92.0,93.0,96.0,97.0,94.0,94.0,95.0,95.0,95.0,96.0,97.0,94.0,96.0,97.0,98.0,97.0,96.0,97.0,96.0,98.0,97.0,98.0,97.0,98.0,98.0,99.0,99.0,99.0,98.0,98.0,98.0
ITA,Italy,43.0,50.0,50.0,50.0,50.0,50.0,55.0,57.0,55.0,70.0,74.0,77.0,81.0,84.0,86.0,87.0,88.0,90.0,90.0,90.0,91.0,90.0,90.0,90.0,87.0,85.0,87.0,92.0,93.0,94.0,92.0,94.0,94.0,95.0,95.0
JAM,Jamaica,74.0,77.0,63.0,80.0,82.0,90.0,96.0,88.0,88.0,82.0,88.0,85.0,86.0,78.0,86.0,84.0,87.0,76.0,88.0,88.0,89.0,88.0,93.0,94.0,92.0,91.0,95.0,95.0,89.0,94.0,93.0,88.0,91.0,93.0,94.0
JOR,Jordan,87.0,85.0,91.0,88.0,91.0,92.0,94.0,95.0,93.0,83.0,94.0,99.0,95.0,96.0,99.0,95.0,99.0,95.0,95.0,95.0,98.0,98.0,98.0,97.0,98.0,94.0,96.0,93.0,92.0,87.0,76.0,81.0,86.0,95.0,99.0
JPN,Japan,73.0,71.0,69.0,68.0,81.0,93.0,94.0,94.0,95.0,95.0,96.0,98.0,98.0,98.0,98.0,98.0,97.0,96.0,95.0,94.0,94.0,94.0,96.0,95.0,98.0,96.0,96.0,97.0,97.0,96.0,98.0,95.0,98.0,94.0,95.0
KAZ,Kazakhstan,,,89.0,91.0,91.0,95.0,97.0,97.0,99.0,99.0,99.0,95.0,95.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,96.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,93.0,97.0,99.0,99.0,93.0
KEN,Kenya,78.0,81.0,84.0,84.0,84.0,83.0,81.0,79.0,78.0,76.0,78.0,77.0,78.0,72.0,73.0,69.0,77.0,80.0,90.0,88.0,86.0,87.0,93.0,94.0,95.0,96.0,93.0,84.0,92.0,92.0,89.0,90.0,89.0,91.0,88.0
