Scottish Vacant and Derelict Land Survey (SVDLS) Site Register 2024,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,
The table is a register of vacant and derelict sites and includes a variety of information about those sites in 2024.,,,,,,,,,,,,, ,
"Total sites on the register number 3,154 and include 93 urban vacant sites in settlements with a population under 2,000.
These 93 sites are not included in the main figures in the SVDLS 2024 statistical publication but are reported separately in Annex Table 2.",,,,,,,,,,,,,,
Go to Background and Notes,,,,,,,,,,,,,,
Go to Variables in Register,,,,,,,,,,,,,,
Go to Contact Details,,,,,,,,,,,,,,
Planning Authority ,Site Code,Site Name (If Supplied),Address (If Supplied),East,North,Site Size (Hectares),Site Type,Location of Site,Owner 1,Owner 2,Period when site became Vacant or Derelict,Previous Use of Site,Development Potential,Datazone
Aberdeenshire,BOD 1,RAF BUCHAN,RAF BUCHAN BODDAM,412875,842069,1.1,Vacant Land,"Site in settlement with population under 2,000",Defence,Not applicable  (i.e. only one owner),2001-2004,Defence,Developable - Medium Term,S01007069
Aberdeenshire,BOD 3,RAF BUCHAN,RAF BUCHAN BODDAM,413162,842287,0.5,Vacant Land,"Site in settlement with population under 2,000",Defence,Not applicable  (i.e. only one owner),2001-2004,Defence,Developable - Medium Term,S01007069
Aberdeenshire,BOD2,FORMER BUCHANESS HOTEL,BRAE STREET BODDAM,413373,842467,0.13,Vacant Land,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),2014,"Residential - Hotels, Hostels etc",Developable - Short Term,S01007069
Aberdeenshire,BPHA/D/293,LONMAY,PUMPING STATION MILLHILL TREATMENT WORKS LONMAY,404355,858797,0.19,Derelict,Site in countryside,Local Authority,Not applicable  (i.e. only one owner),Unknown,Utility Services,Unknown (uncertain/insufficient information),S01007102
Aberdeenshire,BPHD/D/060,COBLE SHORE,NEAR PRISON PETERHEAD,413064,844338,0.3,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Undetermined,S01007073
Aberdeenshire,BPHD/V/033,WELLBANK,RING ROAD PETERHEAD,410979,844223,1.77,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Agriculture,Developable - Medium Term,S01007097
Aberdeenshire,BRAE2,FORMER DAIRY BUILDING,INVERCAULD GARDENS BRAEMAR,315332,791535,0.22,Derelict,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Residential - Housing,Developable - Medium Term,S01006793
Aberdeenshire,BRAE3,FORMER BRAEMAR LODGE HOTEL,GLENSHEE ROAD BRAEMAR,315253,791245,0.11,Vacant Land,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2022,"Residential - Hotels, Hostels etc",Developable - Medium Term,S01006793
Aberdeenshire,CRIMOND1,FORMER RAF HOSPITAL CAMP,MOSS SIDE CRIMOND,405573,855952,8,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),1996-2000,Defence,Developable - Undetermined,S01007102
Aberdeenshire,CRU1,BRICK AND TILE WORKS,CRUDEN BAY CRUDEN BAY,408842,836885,17.6,Derelict,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Undetermined,S01007066
Aberdeenshire,DRUMOAK1,FORMER DRUMOAK SCHOOL,SUNNYSIDE DRIVE DRUMOAK,379310,799341,0.29,Vacant Land,"Site in settlement with population under 2,000",Local Authority,Not applicable  (i.e. only one owner),2019,Education,Developable - Short Term,S01006855
Aberdeenshire,DRUMOAK2,FORMER IRVINE ARMS,NORTH DEESIDE ROAD DRUMOAK,379218,798805,0.13,Vacant Land,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),2022,Recreation & Leisure,Developable - Short Term,S01006854
Aberdeenshire,DRUMOAK3,SITE ADJ KINCLUNY,OFF SOUTH DEESIDE ROAD PARK DRUMOAK,380134,797687,0.3,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),Unknown,Other General Industry,Developable - Undetermined,S01006855
Aberdeenshire,EDZ1,FORMER EDZELL AIRBASE,EDZELL,363072,768871,160,Vacant Land and Buildings,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),1996-2000,Defence,Developable - Undetermined,S01006807
Aberdeenshire,ELL8,FORMER PETROL STATION,SOUTH ROAD ELLON,395900,830059,0.25,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Retailing,Developable - Medium Term,S01006962
Aberdeenshire,ELL9a,FORMER ELLON ACADEMY SITE (NEW BUILDING),SCHOOLHILL ELLON,395803,830574,0.81,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2015,Education,Developable - Short Term,S01006959
Aberdeenshire,FA/D057,FORMER AIRFIELD CAMP,CAMP OFF B9033 FRASERBURGH,402484,864382,13.21,Derelict,Site in countryside,Ownership unknown,Not applicable  (i.e. only one owner),1980 or earlier,Defence,Uneconomic to Develop/Soft End Use,S01007104
Aberdeenshire,FOVERAN1,MILL OF FOVERAN,FOVERAN,397578,823983,0.4,Derelict,Site in countryside,Other Private,Not applicable  (i.e. only one owner),Unknown,Agriculture,Developable - Short Term,S01006973
Aberdeenshire,FRAS 3,OPP CEMETERY,SOUTH HARBOUR ROAD FRASERBURGH,400053,865701,2.26,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Short Term,S01007127
Aberdeenshire,FRAS5,FORMER ALEXANDRA HOTEL,HIGH STREET FRASERBURGH,399508,867203,0.36,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2005,"Residential - Hotels, Hostels etc",Developable - Medium Term,S01007127
Aberdeenshire,FRAS6,FAIRNEY HILL BUSINESS PARK,WEST SHORE ROAD FRASERBURGH,398491,867212,1.2,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),1996-2000,Agriculture,Developable - Medium Term,S01007108
Aberdeenshire,FRAS7,FORMER POULTRY SHEDS,WEST SHORE ROAD FRASERBURGH,398672,867292,0.82,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Agriculture,Developable - Medium Term,S01007108
Aberdeenshire,FRAS8,FORMER RECYCLING CENTRE,WESTSHORE ROAD FRASERBURGH,398576,867281,0.12,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),Unknown,Community & Health,Developable - Medium Term,S01007108
Aberdeenshire,FRAS9,CROSS STREET,FRASERBURGH,399659,866939,0.29,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2022,Retailing,Developable - Short Term,S01007121
Aberdeenshire,HATT1,FORMER CHURCH,MAIN STREET HATTON OF CRUDEN,404840,837231,0.39,Vacant Land and Buildings,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2014,Other,Developable - Short Term,S01007071
Aberdeenshire,HUN15,SOUTH OF STEVEN ROAD,HUNTLY INDUSTRIAL ESTATE STEVEN ROAD HUNTLY,352108,839482,1.81,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Medium Term,S01007002
Aberdeenshire,HUN2,CENTRAL AUCTION MART/RAILWAY SIDINGS,ABERDEEN ROAD HUNTLY,353482,839492,1.77,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),1991-1995,Agriculture,Unknown (uncertain/insufficient information),S01007009
Aberdeenshire,INSC1,FORMER GARAGES AND COUNCIL DEPOT,COMMERCE STREET INSCH,363030,827900,0.58,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Unknown Private,2005,Transport,Developable - Medium Term,S01007001
Aberdeenshire,INVERBOY 1,A98 INVERBOYNDIE,SITE ON A98 INVERBOYNDIE,366734,864325,3.1,Vacant Land and Buildings,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Other General Industry,Developable - Undetermined,S01007028
Aberdeenshire,INVERUR2,FORMER HARLAW CENTRE,HARLAW ROAD INVERURIE,376955,822437,1.2,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2018,Community & Health,Developable - Medium Term,S01006895
Aberdeenshire,INVERUR3,FORMER MATHERS FACTORY,HARLAW ROAD INVERURIE,376841,822525,0.4,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2017,Manufacturing,Developable - Medium Term,S01006895
Aberdeenshire,INVERUR4,FORMER BLYTHEWOOD CARE HOME,ELPHINSTONE ROAD PORT ELPHINSTONE INVERURIE,377534,820229,0.48,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2018,Community & Health,Developable - Medium Term,S01006903
Aberdeenshire,INVERUR7,FORMER STRATHBURN COTTAGE,MIDDLEMUIR ROAD INVERURIE,376820,821764,0.27,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2021,Residential - Housing,Developable - Short Term,S01006896
Aberdeenshire,INVERUR8,HIGHCLERE BUSINESS PARK,INVERURIE,375770,821486,0.6,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2022,Storage,Developable - Medium Term,S01006912
Aberdeenshire,KINCARD1,FORMER J & M STRANGS FILLING STATION,NORTH DEESIDE ROAD KINCARDINE O' NEIL,358935,799676,0.3,Vacant Land,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),2019,Retailing,Developable - Short Term,S01006869
Aberdeenshire,KINT 4,FORMER TORRYBURN HOTEL,GAUCHILL ROAD KINTORE,379045,815646,0.63,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2015,"Residential - Hotels, Hostels etc",Developable - Medium Term,S01006916
Aberdeenshire,KINT 5,BRIGEND STEADING,NORTHERN RD KINTORE,378925,816756,0.13,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2017,Agriculture,Developable - Short Term,S01006920
Aberdeenshire,LKIRK2,FORMER MEARNS ACADEMY SITE,ABERDEEN ROAD LAURENCEKIRK,372036,771707,1.68,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2017,Education,Developable - Short Term,S01006801
Aberdeenshire,MACD2,TARLAIR BUSINESS PARK,TARLAIR WAY MACDUFF,371670,864177,1.85,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2006,Agriculture,Developable - Short Term,S01007040
Aberdeenshire,MACD3,FORMER FILLING STATION,BUCHAN ST MACDUFF,371095,864560,0.19,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Retailing,Developable - Medium Term,S01007039
Aberdeenshire,MAUD2,FORMER MAUD HOSPITAL,BANK ROAD MAUD,392493,847584,0.95,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2008,Community & Health,Developable - Short Term,S01007053
Aberdeenshire,MCULTER1,FORMER OLD MILL INN,SOUTH DEESIDE ROAD MARYCULTER,385733,800131,0.84,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),2021,Recreation & Leisure,Developable - Medium Term,S01006853
Aberdeenshire,MIDMAR1,FORMER MIDMAR INN,B9119 MIDMAR,370561,805677,0.25,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),2007,Recreation & Leisure,Developable - Undetermined,S01006858
Aberdeenshire,MINT2,ADJ CO-OP STORE,MINTLAW INDUSTRIAL ESTATE STATION ROAD MINTLAW,399040,848489,0.2,Vacant Land,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Residential - Housing,Developable - Medium Term,S01007059
Aberdeenshire,MKIRK1,MARYMILL,MARYKIRK,368620,765355,0.18,Derelict,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),2017,Agriculture,Developable - Medium Term,S01006806
Aberdeenshire,NEWM1,OPP NEWMACHAR HOTEL,KINGSEAT ROAD NEWMACHAR,388387,819981,0.22,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Agriculture,Developable - Undetermined,S01006947
Aberdeenshire,NEWM3,FORMER HOSPITAL BUILDING,FORMER KINGSEAT HOSPITAL KINGSEAT,390381,819018,0.54,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),1996-2000,Community & Health,Developable - Medium Term,S01006950
Aberdeenshire,NEWM4,FORMER VILLAGE HALL,FORMER KINGSEAT HOSPITAL KINGSEAT,390373,819166,0.19,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),1996-2000,Community & Health,Developable - Medium Term,S01006950
Aberdeenshire,NEWM5,FORMER BUILDING E12,FORMER KINGSEAT HOSPITAL KINGSEAT,390339,818927,0.11,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),1996-2000,Community & Health,Developable - Medium Term,S01006950
Aberdeenshire,NEWM6,FORMER ADMIN BLOCK,FORMER KINGSEAT HOSPITAL KINGSEAT,390479,819125,0.12,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),1996-2000,Community & Health,Developable - Medium Term,S01006950
Aberdeenshire,OLDDEER1,FORMER ST DROSTAN'S EVENTIDE HOME,RUSSELL STREET OLD DEER,397661,847661,0.88,Derelict,"Site in settlement with population under 2,000",Other Private,Not applicable  (i.e. only one owner),2014,Community & Health,Developable - Short Term,S01007064
Aberdeenshire,OLDM1,COUTENS FARM,COUTENS COLPY ROAD OLDMELDRUM,380258,827645,1.1,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Agriculture,Developable - Medium Term,S01006988
Aberdeenshire,OLDM2,FORMER PIGGERY,HATTONCROOK OLMELDRUM,384773,825615,0.9,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),2009,Agriculture,Developable - Undetermined,S01006988
Aberdeenshire,OYNE1,FORMER ARCHEAOLINK PARK,OYNE,366908,825672,3.26,Derelict,"Site in settlement with population under 2,000",Local Authority,Not applicable  (i.e. only one owner),2017,Recreation & Leisure,Developable - Medium Term,S01006888
Aberdeenshire,PHD/D/058,STATION ROAD,STATION ROAD PETERHEAD,412534,846303,0.21,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Other General Industry,Developable - Medium Term,S01007080
Aberdeenshire,PHD/D/061,NORTH ST/ BROOK LANE,NORTH ST/ BROOK LANE PETERHEAD,413487,846415,0.22,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Other General Industry,Developable - Medium Term,S01007087
Aberdeenshire,PHD/V/060,UGIE STREET,UGIE STREET PETERHEAD,413323,846659,0.29,Vacant Land,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),Unknown,Other General Industry,Developable - Medium Term,S01007086
Aberdeenshire,PHEA4,FORMER SCRAP METAL WORKS,UGIE ST/WILSON ST PETERHEAD,413200,846717,0.37,Derelict,"Site in settlement with population equal to or over 2,000",Ownership unknown,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Medium Term,S01007086
Aberdeenshire,PHEA8,FORMER BELLAMYS FACTORY,WINDMILL STREET PETERHEAD,413409,846349,0.81,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Developable - Short Term,S01007086
Aberdeenshire,PHEAD11,FORMER RECYCLING CENTRE,DALES INDUSTRIAL ESTATE DAMHEAD WAY PETERHEAD,411461,844785,0.66,Derelict,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2009,Community & Health,Developable - Undetermined,S01007097
Aberdeenshire,PHEAD14,OPP BUS DEPOT,GRANGE ROAD PETERHEAD,411775,846631,0.39,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Medium Term,S01007090
Aberdeenshire,PHEAD15,REAR BALMOOR IND EST,GRANGE ROAD PETERHEAD,411899,846585,1.1,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),Unknown,Unknown,Developable - Medium Term,S01007090
Aberdeenshire,PHEAD16,ADJACENT ALDI,KIRK STREET PETERHEAD,412630,846118,0.98,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2018,Manufacturing,Developable - Short Term,S01007080
Aberdeenshire,PHEAD17,FORMER FACTORY SITE,BALMOOR INDUSTRIAL ESTATE CATTO DRIVE PETERHEAD,411938,846756,1.49,Vacant Land,"Site in settlement with population equal to or over 2,000",Local Authority,Not applicable  (i.e. only one owner),2018,Manufacturing,Developable - Medium Term,S01007090
Aberdeenshire,PHEAD18,FORMER SEWAGE WORKS,TORTORSTON ROAD PETERHEAD,409105,846991,0.8,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),Unknown,Community & Health,Developable - Medium Term,S01007098
Aberdeenshire,PITTMDN1,FORMER NORSE YARD,B999 ROAD PITMEDDEN,388781,828061,1.7,Vacant Land and Buildings,"Site in settlement with population under 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Other General Industry,Developable - Medium Term,S01006983
Aberdeenshire,PORT1,FORMER HILLSIDE PETROL STATION,HILLSIDE PORTLETHEN,392536,797893,0.15,Derelict,"Site in settlement with population equal to or over 2,000",Other Private,Not applicable  (i.e. only one owner),2001-2004,Retailing,Developable - Medium Term,S01006848
Aberdeenshire,PORT3,FORMER COULL CARS SITE,HILLSIDE ROAD PORTLETHEN,392495,797974,0.71,Vacant Land,"Site in settlement with population equal to or over 2,000",Housing Association,Not applicable  (i.e. only one owner),2011,Retailing,Developable - Short Term,S01006849
Aberdeenshire,PORT4,HILLSIDE HOUSE,HILLSIDE PORTLETHEN,392168,797718,0.15,Derelict,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),2016,Residential - Housing,Developable - Undetermined,S01006849
Aberdeenshire,SAUCHEN1,STEADINGS AT WOODLANDS,OFF A944 SAUCHEN,368416,810300,0.54,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),Unknown,Agriculture,Developable - Medium Term,S01006881
Aberdeenshire,STON2,FORMER GAS STORAGE SITE,WALLACE WYND STONEHAVEN,387608,785440,0.24,Derelict,"Site in settlement with population equal to or over 2,000",Private Gas,Not applicable  (i.e. only one owner),Unknown,Manufacturing,Unknown (uncertain/insufficient information),S01006828
Aberdeenshire,STON3,FORMER FAROCHIE DAIRY,CHEYNE STONEHAVEN,384498,786438,1.16,Derelict,Site in countryside,Unknown Private,Not applicable  (i.e. only one owner),Unknown,Agriculture,Developable - Undetermined,S01006822
Aberdeenshire,TURR1,CORNFIELD ROAD,CORNFIELD ROAD TURRIFF,372623,850159,1.39,Vacant Land,"Site in settlement with population equal to or over 2,000",Unknown Private,Not applicable  (i.e. only one owner),Unknown,Other General Industry,Developable - Medium Term,S01007019
